holiday,temp,rain,snow,weather,year,month,day,hour,minute,second,actual,predicted
7.0,282.35,0.0,0.0,0.0,2017,10,22,4,0,0,332,2506.367347447249
7.0,270.88,0.0,0.0,0.0,2016,2,21,0,0,0,1353,2090.193549576783
7.0,266.37,0.0,0.0,1.0,2013,2,23,4,0,0,387,2433.006704135125
7.0,275.4,0.0,0.0,1.0,2013,2,14,13,0,0,5015,3451.9007602184283
7.0,294.58,0.0,0.0,4.0,2018,6,18,13,0,0,4743,3559.8007082704426
7.0,298.28,0.0,0.0,1.0,2016,4,17,14,0,0,4661,3812.9031083976297
7.0,293.34,0.0,0.0,4.0,2017,5,28,14,0,0,4007,3656.8021640623047
7.0,280.47,0.0,0.0,0.0,2015,10,2,1,0,0,431,2230.7354153711567
7.0,301.82,0.0,0.0,1.0,2018,6,28,20,0,0,3127,4382.490955146091
7.0,258.22,0.0,0.0,0.0,2017,2,9,10,0,0,4527,2880.9113422142436
7.0,291.72,0.0,0.0,4.0,2017,8,18,10,0,0,4562,3205.1735151956054
7.0,261.39,0.0,0.0,0.0,2013,1,15,16,0,0,6493,3569.652018754743
7.0,293.25,1.27,0.0,4.0,2015,6,29,20,0,0,2527,4247.366903493148
7.0,276.69,0.0,0.0,5.0,2017,3,23,18,0,0,4531,3826.0244316565877
7.0,263.79,0.0,0.0,8.0,2017,12,23,3,0,0,391,1985.4951086577494
7.0,293.39,0.62,0.0,4.0,2014,6,1,12,0,0,4642,3509.987963228672
7.0,286.57,0.0,0.0,5.0,2013,5,29,12,0,0,4899,3394.387546632075
7.0,289.86,0.3,0.0,4.0,2016,9,9,8,0,0,6022,2988.0874604452947
7.0,268.69,0.0,0.0,1.0,2016,2,26,7,0,0,6641,2720.7716023734865
7.0,301.61,0.0,0.0,1.0,2014,7,10,15,0,0,5962,3941.8097144245694
7.0,280.4,0.0,0.0,0.0,2016,11,8,9,0,0,5089,2975.7100875371616
7.0,271.15,0.0,0.0,1.0,2013,1,16,15,0,0,5700,3598.841633704207
7.0,279.15,0.0,0.0,5.0,2016,11,3,6,0,0,5706,2595.700762161414
7.0,293.15,0.0,0.0,3.0,2017,6,11,23,0,0,1183,4548.038669976257
7.0,258.69,0.0,0.0,3.0,2013,1,21,17,0,0,4420,3576.9006005838964
7.0,271.35,0.0,0.0,1.0,2018,2,24,20,0,0,1520,4005.698757053695
7.0,273.86,0.0,0.0,1.0,2013,1,9,15,0,0,5447,3645.6725384764286
7.0,265.84,0.0,0.0,8.0,2017,12,22,9,0,0,4515,2601.5824834288615
7.0,275.515,0.0,0.0,1.0,2017,1,24,14,0,0,4996,3509.3933660087205
7.0,276.8,0.0,0.0,5.0,2012,12,2,20,0,0,2319,3959.0009269124967
7.0,299.04,0.0,0.0,1.0,2016,7,31,12,0,0,2230,3566.285825471714
7.0,300.56,0.0,0.0,0.0,2015,9,5,21,0,0,2849,4487.59499255312
7.0,272.27,0.0,0.0,8.0,2017,1,2,12,0,0,3732,3185.571015547721
7.0,278.65,0.0,0.0,0.0,2016,11,11,5,0,0,2702,2556.97303278821
7.0,278.35,0.25,0.0,4.0,2013,10,19,0,0,0,1312,2048.9431767082388
7.0,280.4,0.0,0.0,1.0,2013,5,3,17,0,0,5837,3878.1689265519017
7.0,299.29,0.25,0.0,4.0,2013,6,28,21,0,0,3143,4457.763384775873
7.0,296.75,0.0,0.0,0.0,2017,6,10,2,0,0,641,2598.441740929913
7.0,278.31,0.0,0.0,1.0,2012,11,8,10,0,0,4670,3075.2621062159487
7.0,294.353,0.0,0.0,0.0,2013,9,8,14,0,0,4120,3734.9061638270578
7.0,281.22,0.0,0.0,0.0,2015,9,29,7,0,0,6572,2814.9707277557063
7.0,295.09,0.0,0.0,4.0,2018,6,9,19,0,0,3128,4161.65186911877
7.0,294.75,0.0,0.0,0.0,2016,6,16,12,0,0,5473,3550.046458517958
7.0,276.22,0.0,0.0,4.0,2017,5,1,16,0,0,5904,3629.5784033739037
7.0,271.01,0.0,0.0,5.0,2018,4,15,15,0,0,2171,3430.8091720350276
7.0,289.74,0.0,0.0,4.0,2017,8,25,11,0,0,4501,3266.525899833352
7.0,272.02,0.0,0.0,1.0,2018,1,19,8,0,0,5673,2866.52981148244
7.0,291.93,0.0,0.0,0.0,2018,8,15,5,0,0,3181,2771.385700237017
7.0,265.02,0.0,0.0,0.0,2015,11,28,23,0,0,1874,4107.409196851793
7.0,288.73,0.0,0.0,1.0,2016,9,4,6,0,0,1352,2826.2867193326783
7.0,276.793,0.0,0.0,1.0,2013,12,19,1,0,0,372,2136.144324114757
7.0,275.04,0.0,0.0,1.0,2016,4,7,0,0,0,600,2118.4232845750557
